STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,ACMH,ACSH,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDFG,WESD,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/13/1990,70,100,16.11,1902,0,0,0,,46,26,97,225,,35.6,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/14/1990,80,60,14.76,1343,0,0,0,,56,34,296,315,,31.1,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/15/1990,100,100,19.01,1815,0.54,1.1,0,,34,27,0,90,,28.9,1,,,1,,1,,,,,,,,1,1,,1,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/16/1990,100,100,5.59,224,0.46,0.1,1,,35,25,0,45,,21.9,1,1,,1,,1,,,,,,,1,1,1,1,1,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/17/1990,10,10,19.69,1259,0.02,0,0,,43,20,630,315,,40.3,1,,,,,1,,,,,,,,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/18/1990,30,40,14.76,1719,0,0,0,,35,15,612,225,,28.9,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/19/1990,50,60,20.58,1830,0,0,0,,50,31,504,315,,42.5,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/20/1990,0,10,21.25,455,0,0,0,,31,20,588,315,,42.5,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/21/1990,0,0,16.33,1512,0,0,0,,47,19,651,270,,28.9,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/22/1990,90,100,22.82,1837,0.14,0,0,,63,35,357,225,,46.1,1,,,,,,,,,,,,1,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/23/1990,100,100,17,154,0.06,0,0,,65,50,159,225,,41.4,1,,,,,,,,,,,,1,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/24/1990,100,100,15.21,813,0.62,5.7,3,,51,26,94,45,0.3,39.1,1,,,1,,,,,,,,,,,1,,1,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/25/1990,100,100,21.25,2245,0.2,4.5,7,,29,10,0,315,1,39.1,1,,,,,,,,1,,,,,,,,1,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/26/1990,0,0,14.99,20,0,0,10,,18,3,662,315,0.9,38,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/27/1990,50,70,15.21,1319,0.04,0.7,8,,32,11,385,180,1,34.4,1,,,,,,,,,,,,,,,,1,,,
