,Crash Number,Crash Date,Crash Severity,Ambient Light
8281,2626390,7/28/2010,Not Reported,Daylight
8282,2626391,7/31/2010,Property damage only (none injured),Daylight
8283,2626394,7/31/2010,Non-fatal injury,Daylight
8284,2626396,7/30/2010,Non-fatal injury,Daylight
8285,2626398,7/30/2010,Non-fatal injury,Daylight
8286,2626400,8/2/2010,Non-fatal injury,Daylight
8287,2628377,8/10/2010,Non-fatal injury,Dark - roadway not lighted
8288,2628378,8/11/2010,Property damage only (none injured),Daylight
8289,2628379,8/12/2010,Non-fatal injury,Daylight
8290,2628709,8/3/2010,Non-fatal injury,Daylight
8291,2628716,7/13/2010,Property damage only (none injured),Daylight
8292,2628731,8/3/2010,Non-fatal injury,Daylight
8293,2628733,8/5/2010,Non-fatal injury,Daylight
8294,2628736,8/5/2010,Property damage only (none injured),Daylight
8295,2629249,8/9/2010,Property damage only (none injured),Daylight
8296,2629261,8/7/2010,Non-fatal injury,Dark - lighted roadway
8297,2629262,8/11/2010,Property damage only (none injured),Daylight
8298,2629273,8/9/2010,Non-fatal injury,Daylight
8299,2629571,8/8/2010,Property damage only (none injured),Daylight
8300,2629969,8/14/2010,Non-fatal injury,Daylight
8301,2630034,3/20/2010,Property damage only (none injured),Dark - lighted roadway
8302,2630240,5/19/2010,Property damage only (none injured),Daylight
8303,2630242,8/11/2010,Non-fatal injury,Daylight
8304,2631094,7/31/2009,Not Reported,Daylight
8305,2631112,7/14/2009,Non-fatal injury,Daylight
8306,2632036,8/18/2010,Property damage only (none injured),Daylight
8307,2632251,8/15/2009,Not Reported,Daylight
8308,2632253,8/12/2010,Non-fatal injury,Dark - lighted roadway
8309,2632255,8/12/2010,Non-fatal injury,Daylight
8310,2632257,8/13/2010,Non-fatal injury,Daylight
8311,2632261,8/17/2010,Non-fatal injury,Dark - lighted roadway
8312,2632265,8/16/2010,Not Reported,Daylight
8313,2632266,8/14/2010,Not Reported,Daylight
8314,2632432,8/26/2009,Property damage only (none injured),Daylight
8315,2632604,8/14/2010,Property damage only (none injured),Daylight
8316,2632605,8/25/2010,Property damage only (none injured),Daylight
8317,2632684,8/25/2009,Non-fatal injury,Daylight
8318,2633450,8/20/2010,Not Reported,Daylight
8319,2633564,7/29/2010,Property damage only (none injured),Daylight
8320,2633718,8/25/2010,Property damage only (none injured),Daylight
8321,2633719,8/26/2010,Property damage only (none injured),Dark - lighted roadway
8322,2633720,8/27/2010,Property damage only (none injured),Dark - lighted roadway
8323,2634363,8/15/2010,Property damage only (none injured),Daylight
8324,2634364,8/24/2010,Property damage only (none injured),Daylight
8325,2634444,8/30/2010,Property damage only (none injured),Dark - lighted roadway
8326,2634736,3/5/2010,Not Reported,Daylight
8327,2634930,8/16/2010,Non-fatal injury,Daylight
8328,2636142,8/27/2010,Non-fatal injury,Dusk
8329,2636145,8/28/2010,Non-fatal injury,Dark - lighted roadway
8330,2636154,8/27/2010,Property damage only (none injured),Daylight
8331,2636156,8/27/2010,Non-fatal injury,Daylight
8332,2636455,2/27/2010,Non-fatal injury,Daylight
8333,2636644,8/21/2010,Property damage only (none injured),Daylight
8334,2636646,8/21/2010,Non-fatal injury,Daylight
8335,2636649,8/23/2010,Non-fatal injury,Daylight
8336,2636652,8/7/2010,Property damage only (none injured),Daylight
8337,2636655,8/24/2010,Property damage only (none injured),Dusk
8338,2636660,8/25/2010,Property damage only (none injured),Daylight
8339,2636661,8/24/2010,Non-fatal injury,Dark - lighted roadway
8340,2636662,8/26/2010,Not Reported,Daylight
8341,2636666,8/20/2010,Non-fatal injury,Daylight
8342,2637051,8/20/2010,Property damage only (none injured),Daylight
8343,2637184,7/17/2010,Property damage only (none injured),Daylight
8344,2637267,9/1/2010,Non-fatal injury,Daylight
8345,2637270,9/1/2010,Property damage only (none injured),Daylight
8346,2637309,8/17/2010,Non-fatal injury,Daylight
8347,2637311,8/19/2010,Property damage only (none injured),Dark - lighted roadway
8348,2637319,8/23/2010,Property damage only (none injured),Dark - lighted roadway
8349,2638232,8/31/2010,Property damage only (none injured),Daylight
8350,2638452,9/3/2010,Non-fatal injury,Daylight
8351,2638461,7/3/2009,Non-fatal injury,Dark - lighted roadway
8352,2638521,3/13/2010,Not Reported,Daylight
8353,2638548,6/21/2009,Property damage only (none injured),Daylight
8354,2638614,8/15/2010,Property damage only (none injured),Daylight
8355,2638615,8/24/2010,Property damage only (none injured),Daylight
8356,2638616,9/3/2010,Non-fatal injury,Daylight
8357,2638692,8/23/2010,Property damage only (none injured),Daylight
8358,2638834,7/25/2009,Property damage only (none injured),Daylight
8359,2638872,9/5/2010,Property damage only (none injured),Dark - lighted roadway
8360,2638974,9/1/2010,Not Reported,Not reported
8361,2638975,8/31/2010,Non-fatal injury,Dark - lighted roadway
8362,2638976,8/29/2010,Non-fatal injury,Daylight
8363,2638977,7/22/2009,Not Reported,Daylight
8364,2638978,8/28/2010,Property damage only (none injured),Daylight
8365,2638980,8/31/2010,Property damage only (none injured),Not reported
8366,2639233,9/3/2010,Non-fatal injury,Daylight
8367,2639235,9/6/2010,Non-fatal injury,Dark - roadway not lighted
8368,2639413,9/8/2010,Property damage only (none injured),Dark - lighted roadway
8369,2639415,9/8/2010,Non-fatal injury,Daylight
