lat,long,og
42.2827375,-71.3489687,"(42.2827375, -71.3489687)"
42.28557929999999,-71.35314290000001,"(42.28557929999999, -71.35314290000001)"
42.2964624,-71.3294143,"(42.2964624, -71.3294143)"
42.2685589,-71.35164089999999,"(42.2685589, -71.35164089999999)"
42.302044,-71.33214219999999,"(42.302044, -71.33214219999999)"
42.2545454,-71.3434919,"(42.2545454, -71.3434919)"
42.2606747,-71.34274959999999,"(42.2606747, -71.34274959999999)"
42.2924273,-71.3421465,"(42.2924273, -71.3421465)"
42.2687886,-71.3198981,"(42.2687886, -71.3198981)"
42.3054575,-71.379255,"(42.3054575, -71.379255)"
42.2678342,-71.3447322,"(42.2678342, -71.3447322)"
42.2581873,-71.34058929999999,"(42.2581873, -71.34058929999999)"
42.291949,-71.35637,"(42.291949, -71.35637)"
42.2893862,-71.3372605,"(42.2893862, -71.3372605)"
42.2814364,-71.3530162,"(42.2814364, -71.3530162)"
42.31369309999999,-71.3600233,"(42.31369309999999, -71.3600233)"
42.2870087,-71.34171649999999,"(42.2870087, -71.34171649999999)"
42.2822936,-71.38454399999999,"(42.2822936, -71.38454399999999)"
42.3074734,-71.36180689999999,"(42.3074734, -71.36180689999999)"
42.30495699999999,-71.352522,"(42.30495699999999, -71.352522)"
42.29515500000001,-71.327629,"(42.29515500000001, -71.327629)"
42.2686259,-71.3577396,"(42.2686259, -71.3577396)"
42.2799285,-71.3750203,"(42.2799285, -71.3750203)"
42.2960594,-71.3953796,"(42.2960594, -71.3953796)"
42.32101,-71.33155,"(42.32101, -71.33155)"
42.3110687,-71.3607961,"(42.3110687, -71.3607961)"
42.2888751,-71.33092719999999,"(42.2888751, -71.33092719999999)"
42.2944294,-71.3580218,"(42.2944294, -71.3580218)"
42.2885859,-71.3974451,"(42.2885859, -71.3974451)"
42.2860665,-71.346606,"(42.2860665, -71.346606)"
42.2588386,-71.3334035,"(42.2588386, -71.3334035)"
42.2873314,-71.3343919,"(42.2873314, -71.3343919)"
42.2743206,-71.32768580000001,"(42.2743206, -71.32768580000001)"
42.2879621,-71.3479601,"(42.2879621, -71.3479601)"
42.27687400000001,-71.38851799999999,"(42.27687400000001, -71.38851799999999)"
42.2663905,-71.34353829999999,"(42.2663905, -71.34353829999999)"
42.2566893,-71.3385278,"(42.2566893, -71.3385278)"
42.270958,-71.38314799999999,"(42.270958, -71.38314799999999)"
42.2757361,-71.3122731,"(42.2757361, -71.3122731)"
42.27790299999999,-71.3445907,"(42.27790299999999, -71.3445907)"
42.2645385,-71.3320789,"(42.2645385, -71.3320789)"
42.2752792,-71.3202033,"(42.2752792, -71.3202033)"
42.2620021,-71.3426601,"(42.2620021, -71.3426601)"
42.26964299999999,-71.3509392,"(42.26964299999999, -71.3509392)"
42.2746406,-71.3439095,"(42.2746406, -71.3439095)"
42.2753521,-71.3271146,"(42.2753521, -71.3271146)"
42.2731649,-71.3397133,"(42.2731649, -71.3397133)"
42.27175,-71.36905639999999,"(42.27175, -71.36905639999999)"
42.2603342,-71.3509148,"(42.2603342, -71.3509148)"
42.24964370000001,-71.317579,"(42.24964370000001, -71.317579)"
42.276772,-71.37974,"(42.276772, -71.37974)"
42.2599777,-71.3373021,"(42.2599777, -71.3373021)"
42.27525869999999,-71.3387461,"(42.27525869999999, -71.3387461)"
42.271862,-71.3324403,"(42.271862, -71.3324403)"
42.268721,-71.348456,"(42.268721, -71.348456)"
42.2759545,-71.325166,"(42.2759545, -71.325166)"
42.2729312,-71.3383886,"(42.2729312, -71.3383886)"
42.2726609,-71.33711269999999,"(42.2726609, -71.33711269999999)"
42.2724336,-71.38196920000001,"(42.2724336, -71.38196920000001)"
42.275867,-71.382857,"(42.275867, -71.382857)"
42.27550799999999,-71.3728103,"(42.27550799999999, -71.3728103)"
42.273167,-71.383786,"(42.273167, -71.383786)"
42.2729894,-71.34805300000001,"(42.2729894, -71.34805300000001)"
42.2765759,-71.37705650000001,"(42.2765759, -71.37705650000001)"
42.2514786,-71.3270218,"(42.2514786, -71.3270218)"
42.2727953,-71.374033,"(42.2727953, -71.374033)"
42.27496499999999,-71.34568999999999,"(42.27496499999999, -71.34568999999999)"
42.2746479,-71.37840299999999,"(42.2746479, -71.37840299999999)"
42.276907,-71.3728616,"(42.276907, -71.3728616)"
42.274164,-71.310626,"(42.274164, -71.310626)"
42.2662876,-71.3275517,"(42.2662876, -71.3275517)"
42.261472,-71.33350399999999,"(42.261472, -71.33350399999999)"
42.2629204,-71.3426357,"(42.2629204, -71.3426357)"
42.2716576,-71.3803318,"(42.2716576, -71.3803318)"
42.2594029,-71.3419377,"(42.2594029, -71.3419377)"
42.2686256,-71.3457652,"(42.2686256, -71.3457652)"
42.274673,-71.327282,"(42.274673, -71.327282)"
42.2612827,-71.32743599999999,"(42.2612827, -71.32743599999999)"
42.26952989999999,-71.35314170000001,"(42.26952989999999, -71.35314170000001)"
42.2543993,-71.34583479999999,"(42.2543993, -71.34583479999999)"
42.2497332,-71.3208511,"(42.2497332, -71.3208511)"
42.2683778,-71.30911259999999,"(42.2683778, -71.30911259999999)"
42.2592315,-71.3475431,"(42.2592315, -71.3475431)"
42.2815249,-71.38015779999999,"(42.2815249, -71.38015779999999)"
42.2555208,-71.3405459,"(42.2555208, -71.3405459)"
42.273197,-71.3794118,"(42.273197, -71.3794118)"
42.2635782,-71.3264853,"(42.2635782, -71.3264853)"
42.276563,-71.3789225,"(42.276563, -71.3789225)"
42.26948369999999,-71.3421233,"(42.26948369999999, -71.3421233)"
42.2650495,-71.351286,"(42.2650495, -71.351286)"
42.2674156,-71.3444529,"(42.2674156, -71.3444529)"
42.2744732,-71.3389073,"(42.2744732, -71.3389073)"
42.2806693,-71.37582689999999,"(42.2806693, -71.37582689999999)"
42.2708534,-71.34506929999999,"(42.2708534, -71.34506929999999)"
42.259329,-71.35074399999999,"(42.259329, -71.35074399999999)"
42.2656642,-71.3512515,"(42.2656642, -71.3512515)"
42.2719859,-71.33741429999999,"(42.2719859, -71.33741429999999)"
42.270371,-71.376886,"(42.270371, -71.376886)"
42.27435,-71.3187828,"(42.27435, -71.3187828)"
42.258609,-71.3413114,"(42.258609, -71.3413114)"
42.27341029999999,-71.3408845,"(42.27341029999999, -71.3408845)"
42.307788,-71.32916100000001,"(42.307788, -71.32916100000001)"
42.2772444,-71.3700434,"(42.2772444, -71.3700434)"
