,Name,GRADE,API_AD,coord,Lat,Lon,Color
187,276 BROADWAY CHELSEA MA,Average,276+BROADWAY+CHELSEA+MA,"(42.391186, -71.0375059)",42.3907696,-71.04389189999999,orange
188,11 CONGRESS AV CHELSEA MA,Average +10,11+CONGRESS+AV+CHELSEA+MA,"(42.39048890000001, -71.03775159999999)",42.390875,-71.04395199999999,orange
189,260 BROADWAY CHELSEA MA,Average,260+BROADWAY+CHELSEA+MA,"(42.3908333, -71.0380302)",42.390875,-71.04395199999999,orange
190,17 EVERETT AV CHELSEA MA,Average,17+EVERETT+AV+CHELSEA+MA,"(42.3912416, -71.038265)",42.390875,-71.04395199999999,orange
191,15 EVERETT AV CHELSEA MA,Average,15+EVERETT+AV+CHELSEA+MA,"(42.3911086, -71.0381833)",42.390875,-71.04395199999999,orange
192,43596 EVERETT AV CHELSEA MA,Average,43596+EVERETT+AV+CHELSEA+MA,"(42.3968267, -71.0400547)",42.390875,-71.04395199999999,orange
193,8 EVERETT AV CHELSEA MA,Average,8+EVERETT+AV+CHELSEA+MA,"(42.390693, -71.038567)",42.3906887,-71.0442865,orange
194,16 EVERETT AV CHELSEA MA,Average,16+EVERETT+AV+CHELSEA+MA,"(42.3909286, -71.0385873)",42.4082484,-71.0302531,orange
195,149 CHESTNUT ST CHELSEA MA,Average,149+CHESTNUT+ST+CHELSEA+MA,"(42.3911737, -71.0386105)",42.4079147,-71.0302531,orange
196,137 CHESTNUT ST CHELSEA MA,Average +10,137+CHESTNUT+ST+CHELSEA+MA,"(42.390963, -71.03887499999999)",42.3924166,-71.0324353,orange
197,135 CHESTNUT ST CHELSEA MA,Average +10,135+CHESTNUT+ST+CHELSEA+MA,"(42.3909135, -71.0389715)",42.392202,-71.03248169999999,orange
198,127 CHESTNUT ST CHELSEA MA,Average,127+CHESTNUT+ST+CHELSEA+MA,"(42.3907502, -71.0391162)",42.39200049999999,-71.0318351,orange
199,123-125 CHESTNUT ST CHELSEA MA,Average,123-125+CHESTNUT+ST+CHELSEA+MA,"(42.390717, -71.039303)",42.391847,-71.03175890000001,orange
200,102 HAWTHORN ST CHELSEA MA,Average,102+HAWTHORN+ST+CHELSEA+MA,"(42.390635, -71.035512)",42.391732,-71.03152299999999,orange
201,116 HAWTHORN ST CHELSEA MA,Average,116+HAWTHORN+ST+CHELSEA+MA,"(42.39080879999999, -71.0353299)",42.3921212,-71.0312513,orange
202,165 PEARL ST CHELSEA MA,Average,165+PEARL+ST+CHELSEA+MA,"(42.390543, -71.03580920000002)",42.3921212,-71.0312513,orange
203,154 PEARL ST CHELSEA MA,Average,154+PEARL+ST+CHELSEA+MA,"(42.3907699, -71.0363587)",42.3921212,-71.0312513,orange
204,172 PEARL ST CHELSEA MA,Average +10,172+PEARL+ST+CHELSEA+MA,"(42.3910319, -71.0356479)",42.3921212,-71.0312513,orange
205,178 PEARL ST CHELSEA MA,Average,178+PEARL+ST+CHELSEA+MA,"(42.3911607, -71.0354997)",42.3921212,-71.0312513,orange
206,155 DIVISION ST CHELSEA MA,Average,155+DIVISION+ST+CHELSEA+MA,"(42.3910753, -71.0359158)",42.3921212,-71.0312513,orange
207,14 CONGRESS AV CHELSEA MA,Average,14+CONGRESS+AV+CHELSEA+MA,"(42.3904832, -71.037004)",42.3921212,-71.0312513,orange
208,158 DIVISION ST CHELSEA MA,Minimum,158+DIVISION+ST+CHELSEA+MA,"(42.3913557, -71.0359218)",42.3921212,-71.0312513,red
209,18 FOURTH ST CHELSEA MA,Average,18+FOURTH+ST+CHELSEA+MA,"(42.3913276, -71.03582469999999)",42.3921212,-71.0312513,orange
210,351 BROADWAY CHELSEA MA,Average,351+BROADWAY+CHELSEA+MA,"(42.3915263, -71.0359308)",42.3921212,-71.0312513,orange
211,343-349 BROADWAY CHELSEA MA,Average,343-349+BROADWAY+CHELSEA+MA,"(42.3914512, -71.03605139999999)",42.3921212,-71.0312513,orange
212,339 BROADWAY CHELSEA MA,Average,339+BROADWAY+CHELSEA+MA,"(42.3914236, -71.0361149)",42.3921212,-71.0312513,orange
213,331 BROADWAY CHELSEA MA,Average,331+BROADWAY+CHELSEA+MA,"(42.3912804, -71.0361566)",42.3921212,-71.0312513,orange
214,327 BROADWAY CHELSEA MA,Average,327+BROADWAY+CHELSEA+MA,"(42.3913361, -71.0362542)",42.3921212,-71.0312513,orange
215,317 BROADWAY CHELSEA MA,Average,317+BROADWAY+CHELSEA+MA,"(42.3913597, -71.0364243)",42.3916722,-71.0309031,orange
216,315 BROADWAY CHELSEA MA,Average,315+BROADWAY+CHELSEA+MA,"(42.39133640000001, -71.0364653)",42.391566,-71.030894,orange
217,313 BROADWAY CHELSEA MA,Average,313+BROADWAY+CHELSEA+MA,"(42.3913117, -71.0364936)",42.3915874,-71.0306245,orange
218,307 BROADWAY CHELSEA MA,Average +10,307+BROADWAY+CHELSEA+MA,"(42.3911285, -71.03648969999999)",42.3914206,-71.0302995,orange
219,279 BROADWAY CHELSEA MA,Average,279+BROADWAY+CHELSEA+MA,"(42.3908532, -71.0371712)",42.3914191,-71.0298055,orange
220,275 BROADWAY CHELSEA MA,Average,275+BROADWAY+CHELSEA+MA,"(42.3908532, -71.0371712)",42.39145389999999,-71.02927199999999,orange
221,267 BROADWAY CHELSEA MA,Average,267+BROADWAY+CHELSEA+MA,"(42.3907804, -71.0372873)",42.39145389999999,-71.02927199999999,orange
222,288 BROADWAY CHELSEA MA,Average,288+BROADWAY+CHELSEA+MA,"(42.391248, -71.03739399999999)",42.3913093,-71.0296494,orange
223,290 BROADWAY CHELSEA MA,Average,290+BROADWAY+CHELSEA+MA,"(42.391315, -71.03728199999999)",42.3911874,-71.0293709,orange
224,296 BROADWAY CHELSEA MA,Average +10,296+BROADWAY+CHELSEA+MA,"(42.3914, -71.037132)",42.3911344,-71.02927799999999,orange
225,302-306 BROADWAY CHELSEA MA,Average +10,302-306+BROADWAY+CHELSEA+MA,"(42.391485, -71.03698349999999)",42.39151589999999,-71.0289066,orange
226,320 BROADWAY CHELSEA MA,Average,320+BROADWAY+CHELSEA+MA,"(42.3916043, -71.0366131)",42.39151589999999,-71.0289066,orange
227,324 BROADWAY CHELSEA MA,Average,324+BROADWAY+CHELSEA+MA,"(42.3917893, -71.0364309)",42.39151589999999,-71.0289066,orange
228,324 BROADWAY CHELSEA MA,Average,324+BROADWAY+CHELSEA+MA,"(42.3917893, -71.0364309)",42.390895,-71.028961,orange
229,324 BROADWAY CHELSEA MA,Average +10,324+BROADWAY+CHELSEA+MA,"(42.3917893, -71.0364309)",42.390895,-71.028961,orange
230,324 BROADWAY CHELSEA MA,Average +10,324+BROADWAY+CHELSEA+MA,"(42.3917893, -71.0364309)",42.391395,-71.0288023,orange
